equipment_code,equipment_type,month,predicted_service_prob,predicted_service_label,severity,confidence_bucket,scenario_mode
EL108,Elevator,2029-05-01,0.616022,1,MONITOR,high,baseline
EL108,Elevator,2029-06-01,0.62793,1,MONITOR,high,baseline
EL108,Elevator,2029-07-01,0.626473,1,MONITOR,high,baseline
EL108,Elevator,2029-08-01,0.615348,1,MONITOR,high,baseline
EL108,Elevator,2029-09-01,0.613277,1,MONITOR,high,baseline
EL108,Elevator,2029-10-01,0.615469,1,MONITOR,high,baseline
EL108,Elevator,2029-11-01,0.636674,1,MONITOR,high,baseline
EL108,Elevator,2029-12-01,0.655905,1,MONITOR,high,baseline
EL109,Elevator,2027-01-01,0.70478,1,URGENT,high,baseline
EL109,Elevator,2027-02-01,0.55215,1,MONITOR,medium,baseline
EL109,Elevator,2027-03-01,0.525232,1,MONITOR,medium,baseline
EL109,Elevator,2027-04-01,0.567805,1,MONITOR,medium,baseline
EL109,Elevator,2027-05-01,0.609194,1,MONITOR,high,baseline
EL109,Elevator,2027-06-01,0.593806,1,MONITOR,medium,baseline
EL109,Elevator,2027-07-01,0.588132,1,MONITOR,medium,baseline
EL109,Elevator,2027-08-01,0.584465,1,MONITOR,medium,baseline
EL109,Elevator,2027-09-01,0.586611,1,MONITOR,medium,baseline
EL109,Elevator,2027-10-01,0.589632,1,MONITOR,medium,baseline
EL109,Elevator,2027-11-01,0.600801,1,MONITOR,high,baseline
EL109,Elevator,2027-12-01,0.600891,1,MONITOR,high,baseline
EL109,Elevator,2028-01-01,0.56075,1,MONITOR,medium,baseline
EL109,Elevator,2028-02-01,0.571406,1,MONITOR,medium,baseline
EL109,Elevator,2028-03-01,0.585503,1,MONITOR,medium,baseline
EL109,Elevator,2028-04-01,0.584264,1,MONITOR,medium,baseline
EL109,Elevator,2028-05-01,0.581642,1,MONITOR,medium,baseline
EL109,Elevator,2028-06-01,0.593806,1,MONITOR,medium,baseline
EL109,Elevator,2028-07-01,0.588132,1,MONITOR,medium,baseline
EL109,Elevator,2028-08-01,0.584465,1,MONITOR,medium,baseline
EL109,Elevator,2028-09-01,0.586611,1,MONITOR,medium,baseline
EL109,Elevator,2028-10-01,0.589632,1,MONITOR,medium,baseline
EL109,Elevator,2028-11-01,0.600801,1,MONITOR,high,baseline
EL109,Elevator,2028-12-01,0.600891,1,MONITOR,high,baseline
EL109,Elevator,2029-01-01,0.56075,1,MONITOR,medium,baseline
EL109,Elevator,2029-02-01,0.571406,1,MONITOR,medium,baseline
EL109,Elevator,2029-03-01,0.585503,1,MONITOR,medium,baseline
EL109,Elevator,2029-04-01,0.584264,1,MONITOR,medium,baseline
EL109,Elevator,2029-05-01,0.581642,1,MONITOR,medium,baseline
EL109,Elevator,2029-06-01,0.593806,1,MONITOR,medium,baseline
EL109,Elevator,2029-07-01,0.588132,1,MONITOR,medium,baseline
EL109,Elevator,2029-08-01,0.584465,1,MONITOR,medium,baseline
EL109,Elevator,2029-09-01,0.586611,1,MONITOR,medium,baseline
EL109,Elevator,2029-10-01,0.589632,1,MONITOR,medium,baseline
EL109,Elevator,2029-11-01,0.600801,1,MONITOR,high,baseline
EL109,Elevator,2029-12-01,0.600891,1,MONITOR,high,baseline
EL110,Elevator,2027-01-01,0.63331,1,MONITOR,high,baseline
EL110,Elevator,2027-02-01,0.31574,1,MONITOR,low,baseline
EL110,Elevator,2027-03-01,0.382048,1,MONITOR,low,baseline
EL110,Elevator,2027-04-01,0.361764,1,MONITOR,low,baseline
EL110,Elevator,2027-05-01,0.387115,1,MONITOR,low,baseline
EL110,Elevator,2027-06-01,0.385361,1,MONITOR,low,baseline
EL110,Elevator,2027-07-01,0.385361,1,MONITOR,low,baseline
EL110,Elevator,2027-08-01,0.387344,1,MONITOR,low,baseline
EL110,Elevator,2027-09-01,0.389444,1,MONITOR,low,baseline
EL110,Elevator,2027-10-01,0.392291,1,MONITOR,low,baseline
EL110,Elevator,2027-11-01,0.426548,1,MONITOR,medium,baseline
EL110,Elevator,2027-12-01,0.436048,1,MONITOR,medium,baseline
EL110,Elevator,2028-01-01,0.377295,1,MONITOR,low,baseline
EL110,Elevator,2028-02-01,0.375352,1,MONITOR,low,baseline
EL110,Elevator,2028-03-01,0.375779,1,MONITOR,low,baseline
EL110,Elevator,2028-04-01,0.372928,1,MONITOR,low,baseline
EL110,Elevator,2028-05-01,0.374967,1,MONITOR,low,baseline
EL110,Elevator,2028-06-01,0.385361,1,MONITOR,low,baseline
EL110,Elevator,2028-07-01,0.385361,1,MONITOR,low,baseline
EL110,Elevator,2028-08-01,0.387344,1,MONITOR,low,baseline
EL110,Elevator,2028-09-01,0.389444,1,MONITOR,low,baseline
EL110,Elevator,2028-10-01,0.392291,1,MONITOR,low,baseline
EL110,Elevator,2028-11-01,0.426548,1,MONITOR,medium,baseline
EL110,Elevator,2028-12-01,0.436048,1,MONITOR,medium,baseline
EL110,Elevator,2029-01-01,0.377295,1,MONITOR,low,baseline
EL110,Elevator,2029-02-01,0.375352,1,MONITOR,low,baseline
EL110,Elevator,2029-03-01,0.375779,1,MONITOR,low,baseline
EL110,Elevator,2029-04-01,0.372928,1,MONITOR,low,baseline
EL110,Elevator,2029-05-01,0.374967,1,MONITOR,low,baseline
EL110,Elevator,2029-06-01,0.385361,1,MONITOR,low,baseline
EL110,Elevator,2029-07-01,0.385361,1,MONITOR,low,baseline
EL110,Elevator,2029-08-01,0.387344,1,MONITOR,low,baseline
EL110,Elevator,2029-09-01,0.389444,1,MONITOR,low,baseline
EL110,Elevator,2029-10-01,0.392291,1,MONITOR,low,baseline
EL110,Elevator,2029-11-01,0.426548,1,MONITOR,medium,baseline
EL110,Elevator,2029-12-01,0.436048,1,MONITOR,medium,baseline
EL111,Elevator,2027-01-01,0.708721,1,URGENT,high,baseline
EL111,Elevator,2027-02-01,0.510006,1,MONITOR,medium,baseline
EL111,Elevator,2027-03-01,0.415509,1,MONITOR,medium,baseline
EL111,Elevator,2027-04-01,0.455483,1,MONITOR,medium,baseline
EL111,Elevator,2027-05-01,0.418657,1,MONITOR,medium,baseline
EL111,Elevator,2027-06-01,0.447541,1,MONITOR,medium,baseline
EL111,Elevator,2027-07-01,0.442134,1,MONITOR,medium,baseline
EL111,Elevator,2027-08-01,0.440517,1,MONITOR,medium,baseline
EL111,Elevator,2027-09-01,0.442698,1,MONITOR,medium,baseline
EL111,Elevator,2027-10-01,0.441031,1,MONITOR,medium,baseline
EL111,Elevator,2027-11-01,0.505497,1,MONITOR,medium,baseline
EL111,Elevator,2027-12-01,0.527372,1,MONITOR,medium,baseline
EL111,Elevator,2028-01-01,0.413924,1,MONITOR,medium,baseline
EL111,Elevator,2028-02-01,0.416234,1,MONITOR,medium,baseline
EL111,Elevator,2028-03-01,0.425788,1,MONITOR,medium,baseline
EL111,Elevator,2028-04-01,0.438157,1,MONITOR,medium,baseline
EL111,Elevator,2028-05-01,0.439179,1,MONITOR,medium,baseline
EL111,Elevator,2028-06-01,0.447541,1,MONITOR,medium,baseline
EL111,Elevator,2028-07-01,0.442134,1,MONITOR,medium,baseline
EL111,Elevator,2028-08-01,0.440517,1,MONITOR,medium,baseline
EL111,Elevator,2028-09-01,0.442698,1,MONITOR,medium,baseline
EL111,Elevator,2028-10-01,0.441031,1,MONITOR,medium,baseline
EL111,Elevator,2028-11-01,0.505497,1,MONITOR,medium,baseline
EL111,Elevator,2028-12-01,0.527372,1,MONITOR,medium,baseline
EL111,Elevator,2029-01-01,0.413924,1,MONITOR,medium,baseline
EL111,Elevator,2029-02-01,0.416234,1,MONITOR,medium,baseline
EL111,Elevator,2029-03-01,0.425788,1,MONITOR,medium,baseline
EL111,Elevator,2029-04-01,0.438157,1,MONITOR,medium,baseline
EL111,Elevator,2029-05-01,0.439179,1,MONITOR,medium,baseline
EL111,Elevator,2029-06-01,0.447541,1,MONITOR,medium,baseline
EL111,Elevator,2029-07-01,0.442134,1,MONITOR,medium,baseline
EL111,Elevator,2029-08-01,0.440517,1,MONITOR,medium,baseline
EL111,Elevator,2029-09-01,0.442698,1,MONITOR,medium,baseline
EL111,Elevator,2029-10-01,0.441031,1,MONITOR,medium,baseline
EL111,Elevator,2029-11-01,0.505497,1,MONITOR,medium,baseline
EL111,Elevator,2029-12-01,0.527372,1,MONITOR,medium,baseline
EL112,Elevator,2027-01-01,0.849251,1,URGENT,very_high,baseline
EL112,Elevator,2027-02-01,0.782325,1,URGENT,high,baseline
EL112,Elevator,2027-03-01,0.751485,1,URGENT,high,baseline
EL112,Elevator,2027-04-01,0.767698,1,URGENT,high,baseline
EL112,Elevator,2027-05-01,0.783563,1,URGENT,high,baseline
EL112,Elevator,2027-06-01,0.760165,1,URGENT,high,baseline
EL112,Elevator,2027-07-01,0.758077,1,URGENT,high,baseline
EL112,Elevator,2027-08-01,0.755963,1,URGENT,high,baseline
EL112,Elevator,2027-09-01,0.756417,1,URGENT,high,baseline
EL112,Elevator,2027-10-01,0.754286,1,URGENT,high,baseline
EL112,Elevator,2027-11-01,0.771233,1,URGENT,high,baseline
EL112,Elevator,2027-12-01,0.791389,1,URGENT,high,baseline
EL112,Elevator,2028-01-01,0.758786,1,URGENT,high,baseline
EL112,Elevator,2028-02-01,0.748435,1,URGENT,high,baseline
EL112,Elevator,2028-03-01,0.750968,1,URGENT,high,baseline
EL112,Elevator,2028-04-01,0.76498,1,URGENT,high,baseline
EL112,Elevator,2028-05-01,0.760173,1,URGENT,high,baseline
EL112,Elevator,2028-06-01,0.760165,1,URGENT,high,baseline
EL112,Elevator,2028-07-01,0.758077,1,URGENT,high,baseline
EL112,Elevator,2028-08-01,0.755963,1,URGENT,high,baseline
EL112,Elevator,2028-09-01,0.756417,1,URGENT,high,baseline
EL112,Elevator,2028-10-01,0.754286,1,URGENT,high,baseline
EL112,Elevator,2028-11-01,0.771233,1,URGENT,high,baseline
EL112,Elevator,2028-12-01,0.791389,1,URGENT,high,baseline
EL112,Elevator,2029-01-01,0.758786,1,URGENT,high,baseline
EL112,Elevator,2029-02-01,0.748435,1,URGENT,high,baseline
EL112,Elevator,2029-03-01,0.750968,1,URGENT,high,baseline
EL112,Elevator,2029-04-01,0.76498,1,URGENT,high,baseline
EL112,Elevator,2029-05-01,0.760173,1,URGENT,high,baseline
EL112,Elevator,2029-06-01,0.760165,1,URGENT,high,baseline
EL112,Elevator,2029-07-01,0.758077,1,URGENT,high,baseline
EL112,Elevator,2029-08-01,0.755963,1,URGENT,high,baseline
EL112,Elevator,2029-09-01,0.756417,1,URGENT,high,baseline
EL112,Elevator,2029-10-01,0.754286,1,URGENT,high,baseline
EL112,Elevator,2029-11-01,0.771233,1,URGENT,high,baseline
EL112,Elevator,2029-12-01,0.791389,1,URGENT,high,baseline
EL113,Elevator,2027-01-01,0.759075,1,URGENT,high,baseline
EL113,Elevator,2027-02-01,0.572683,1,MONITOR,medium,baseline
EL113,Elevator,2027-03-01,0.692018,1,MONITOR,high,baseline
EL113,Elevator,2027-04-01,0.648774,1,MONITOR,high,baseline
EL113,Elevator,2027-05-01,0.660225,1,MONITOR,high,baseline
EL113,Elevator,2027-06-01,0.719544,1,URGENT,high,baseline
EL113,Elevator,2027-07-01,0.716586,1,URGENT,high,baseline
EL113,Elevator,2027-08-01,0.705112,1,URGENT,high,baseline
EL113,Elevator,2027-09-01,0.704108,1,URGENT,high,baseline
EL113,Elevator,2027-10-01,0.705504,1,URGENT,high,baseline
EL113,Elevator,2027-11-01,0.706787,1,URGENT,high,baseline
EL113,Elevator,2027-12-01,0.71326,1,URGENT,high,baseline
EL113,Elevator,2028-01-01,0.667521,1,MONITOR,high,baseline
EL113,Elevator,2028-02-01,0.68193,1,MONITOR,high,baseline
EL113,Elevator,2028-03-01,0.705563,1,URGENT,high,baseline
EL113,Elevator,2028-04-01,0.711029,1,URGENT,high,baseline
EL113,Elevator,2028-05-01,0.711393,1,URGENT,high,baseline
EL113,Elevator,2028-06-01,0.719544,1,URGENT,high,baseline
EL113,Elevator,2028-07-01,0.716586,1,URGENT,high,baseline
EL113,Elevator,2028-08-01,0.705112,1,URGENT,high,baseline
EL113,Elevator,2028-09-01,0.704108,1,URGENT,high,baseline
EL113,Elevator,2028-10-01,0.705504,1,URGENT,high,baseline
EL113,Elevator,2028-11-01,0.706787,1,URGENT,high,baseline
EL113,Elevator,2028-12-01,0.71326,1,URGENT,high,baseline
EL113,Elevator,2029-01-01,0.667521,1,MONITOR,high,baseline
EL113,Elevator,2029-02-01,0.68193,1,MONITOR,high,baseline
EL113,Elevator,2029-03-01,0.705563,1,URGENT,high,baseline
EL113,Elevator,2029-04-01,0.711029,1,URGENT,high,baseline
EL113,Elevator,2029-05-01,0.711393,1,URGENT,high,baseline
EL113,Elevator,2029-06-01,0.719544,1,URGENT,high,baseline
EL113,Elevator,2029-07-01,0.716586,1,URGENT,high,baseline
EL113,Elevator,2029-08-01,0.705112,1,URGENT,high,baseline
EL113,Elevator,2029-09-01,0.704108,1,URGENT,high,baseline
EL113,Elevator,2029-10-01,0.705504,1,URGENT,high,baseline
