date,ofns_desc,pd_desc,law_cat_cd,boro_nm,station_name,year,month,month_year
2023-12-19,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,QUEENS,ROOSEVELT AVE.-JACKSON HEIGHTS,2023,12,2023-12
2023-12-19,ROBBERY,"ROBBERY,PUBLIC PLACE INSIDE",FELONY,BRONX,BURKE AVENUE,2023,12,2023-12
2023-12-19,CRIMINAL TRESPASS,"TRESPASS 3, CRIMINAL",MISDEMEANOR,BROOKLYN,CRESCENT STREET,2023,12,2023-12
2023-12-17,PETIT LARCENY,"LARCENY,PETIT FROM OPEN AREAS,",MISDEMEANOR,QUEENS,103 ST.-CORONA PLAZA,2023,12,2023-12
2023-12-19,OTHER OFFENSES RELATED TO THEF,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BRONX,PELHAM PKWY.,2023,12,2023-12
2023-12-19,OTHER OFFENSES RELATED TO THEF,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BRONX,241 ST.-WAKEFIELD,2023,12,2023-12
2023-12-19,DANGEROUS DRUGS,"CONTROLLED SUBSTANCE, POSSESSI",MISDEMEANOR,QUEENS,SUTPHIN BLVD.-ARCHER AVE.,2023,12,2023-12
2023-12-18,DANGEROUS DRUGS,"CONTROLLED SUBSTANCE, POSSESSI",MISDEMEANOR,BRONX,HUNTS POINT AVENUE,2023,12,2023-12
2023-12-18,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",VIOLATION,MANHATTAN,W. 4 STREET,2023,12,2023-12
2023-12-18,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,BROOKLYN,PACIFIC STREET,2023,12,2023-12
2023-10-17,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3,FELONY,QUEENS,PARSONS/ARCHER-JAMAICA CENTER,2023,10,2023-10
2023-12-18,FELONY ASSAULT,ASSAULT POLICE/PEACE OFFICER,FELONY,BROOKLYN,FLATBUSH AVE.-BROOKLYN COLLEGE,2023,12,2023-12
2023-12-17,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,MISDEMEANOR,BRONX,EAST 177 ST.-PARKCHESTER,2023,12,2023-12
2023-12-06,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",MISDEMEANOR,QUEENS,111 STREET,2023,12,2023-12
2023-12-18,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",MISDEMEANOR,BROOKLYN,53 STREET,2023,12,2023-12
2023-12-18,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",VIOLATION,MANHATTAN,34 ST.-PENN STATION,2023,12,2023-12
2023-12-18,ROBBERY,"ROBBERY,PUBLIC PLACE INSIDE",FELONY,MANHATTAN,157 STREET,2023,12,2023-12
2023-12-18,OTHER OFFENSES RELATED TO THEF,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BROOKLYN,ATLANTIC AVENUE,2023,12,2023-12
2023-12-13,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,MANHATTAN,LEXINGTON AVE.,2023,12,2023-12
2023-12-18,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",MISDEMEANOR,BROOKLYN,SUTTER AVENUE-RUTLAND ROAD,2023,12,2023-12
2023-12-18,FRAUDS,"IMPERSONATION 2, PUBLIC SERVAN",MISDEMEANOR,MANHATTAN,96 STREET,2023,12,2023-12
2023-12-04,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3,FELONY,QUEENS,75 AVENUE,2023,12,2023-12
2023-12-18,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,BROOKLYN,KINGSTON-THROOP AVENUES,2023,12,2023-12
2023-12-18,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3,FELONY,BROOKLYN,CHURCH AVENUE,2023,12,2023-12
2023-12-18,GRAND LARCENY,"LARCENY,GRAND PERSON,NECK CHAI",FELONY,BRONX,PROSPECT AVENUE,2023,12,2023-12
2023-12-15,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,PURS",FELONY,BRONX,FREEMAN STREET,2023,12,2023-12
2023-12-17,PETIT LARCENY,"LARCENY,PETIT FROM OPEN AREAS,",MISDEMEANOR,MANHATTAN,125 STREET,2023,12,2023-12
2023-12-17,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,MANHATTAN,42 ST.-GRAND CENTRAL,2023,12,2023-12
2023-12-18,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,BROOKLYN,HIGH STREET,2023,12,2023-12
2023-12-18,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,MANHATTAN,42 ST.-TIMES SQUARE,2023,12,2023-12
2023-12-18,DANGEROUS WEAPONS,"WEAPONS, POSSESSION, ETC",MISDEMEANOR,BROOKLYN,BROADWAY-EAST NEW YORK,2023,12,2023-12
2023-12-18,ROBBERY,"ROBBERY,PERSONAL ELECTRONIC DEVICE",FELONY,MANHATTAN,125 STREET,2023,12,2023-12
2023-12-18,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",VIOLATION,BROOKLYN,BAY PARKWAY,2023,12,2023-12
2023-12-16,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,MISDEMEANOR,BROOKLYN,ROCKAWAY AVENUE,2023,12,2023-12
2023-12-18,OTHER OFFENSES RELATED TO THEF,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,MANHATTAN,1 AVENUE,2023,12,2023-12
2023-11-08,GRAND LARCENY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",FELONY,MANHATTAN,DELANCEY STREET,2023,11,2023-11
2023-12-18,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,MANHATTAN,LEXINGTON AVE.,2023,12,2023-12
2023-12-17,PETIT LARCENY,"LARCENY,PETIT FROM OPEN AREAS,",MISDEMEANOR,MANHATTAN,W. 4 STREET,2023,12,2023-12
2023-12-17,FORGERY,"FORGERY,ETC.,UNCLASSIFIED-FELO",FELONY,BRONX,PROSPECT AVENUE,2023,12,2023-12
2023-12-16,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,QUEENS,QUEENSBORO PLAZA,2023,12,2023-12
2023-12-17,DANGEROUS WEAPONS,"WEAPONS, POSSESSION, ETC",MISDEMEANOR,BROOKLYN,BROADWAY-EAST NEW YORK,2023,12,2023-12
2023-12-17,FELONY ASSAULT,ASSAULT OTHER PUBLIC SERVICE EMPLOYEE,FELONY,BRONX,MT. EDEN AVENUE,2023,12,2023-12
2023-12-17,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",VIOLATION,MANHATTAN,110 ST.-CATHEDRAL PKWY.,2023,12,2023-12
2023-12-17,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)",FELONY,BROOKLYN,BROADWAY-EAST NEW YORK,2023,12,2023-12
2023-12-17,OTHER OFFENSES RELATED TO THEF,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,MANHATTAN,86 STREET,2023,12,2023-12
2023-12-17,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,MANHATTAN,57 STREET,2023,12,2023-12
2023-12-17,ROBBERY,"ROBBERY,PUBLIC PLACE INSIDE",FELONY,BRONX,LONGWOOD AVENUE,2023,12,2023-12
2023-12-17,OTHER OFFENSES RELATED TO THEF,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BRONX,161 ST.-YANKEE STADIUM,2023,12,2023-12
2023-12-17,OTHER OFFENSES RELATED TO THEF,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,BROOKLYN,ATLANTIC AVENUE,2023,12,2023-12
2023-12-17,ROBBERY,"ROBBERY,OPEN AREA UNCLASSIFIED",FELONY,MANHATTAN,72 STREET,2023,12,2023-12
2023-12-17,GRAND LARCENY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",FELONY,MANHATTAN,6 AVENUE,2023,12,2023-12
2023-12-17,FELONY ASSAULT,ASSAULT POLICE/PEACE OFFICER,FELONY,MANHATTAN,86 STREET,2023,12,2023-12
2023-12-17,GRAND LARCENY,"LARCENY,GRAND FROM EATERY, UNATTENDED",FELONY,MANHATTAN,34 ST.-HERALD SQ.,2023,12,2023-12
2023-12-16,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,PICK",FELONY,MANHATTAN,28 STREET,2023,12,2023-12
2023-12-17,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,BROOKLYN,7TH AVENUE,2023,12,2023-12
2023-12-17,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",VIOLATION,BRONX,3 AVENUE-149 STREET,2023,12,2023-12
2023-12-17,DANGEROUS WEAPONS,WEAPONS POSSESSION 3,FELONY,BROOKLYN,ROCKAWAY AVENUE,2023,12,2023-12
2023-12-17,OTHER OFFENSES RELATED TO THEF,"THEFT OF SERVICES, UNCLASSIFIE",MISDEMEANOR,QUEENS,ROOSEVELT AVE.-JACKSON HEIGHTS,2023,12,2023-12
2023-12-17,ADMINISTRATIVE CODE,N.Y.C. TRANSIT AUTH. R&R,VIOLATION,BROOKLYN,ROCKAWAY AVENUE,2023,12,2023-12
2023-12-17,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)",FELONY,QUEENS,VAN WYCK BLVD.-BRIARWOOD,2023,12,2023-12
2023-12-17,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL,    UNCL 2ND",FELONY,MANHATTAN,14 STREET,2023,12,2023-12
